date,time,latitude,longitude,temperature,humidity,pressure,ae,we,ppb
2018-02-06,14:58:20,48.149638,11.536645,0.451667,78.791489,954.030029,242.093750,242.031250,34.641476
2018-02-06,14:58:20,48.149638,11.536645,0.451667,78.487831,954.099976,241.937500,241.875000,34.641476
2018-02-06,14:58:20,48.149638,11.536645,0.465019,78.620583,954.070007,241.875000,241.812500,34.641476
2018-02-06,14:58:20,48.149638,11.536645,0.368887,78.492409,954.090027,242.093750,242.031250,34.641476
2018-02-06,14:58:20,48.149638,11.536645,0.312810,78.841843,954.109985,242.062500,241.937500,34.399227
2018-02-06,14:58:20,48.149638,11.536645,0.283436,79.079880,954.020020,242.093750,242.000000,34.520351
2018-02-06,14:58:20,48.149638,11.536645,0.296788,78.648048,954.099976,242.000000,241.937500,34.641476
2018-02-06,14:58:20,48.149638,11.536645,0.270085,78.860153,954.099976,241.968750,241.937500,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.200656,79.267570,954.080017,242.093750,242.031250,34.641476
2018-02-06,14:58:20,48.149638,11.536645,0.187304,79.339287,954.289978,242.125000,241.968750,34.278103
2018-02-06,14:58:20,48.149638,11.536645,0.256733,79.368279,954.349976,241.937500,241.968750,35.004848
2018-02-06,14:58:20,48.149638,11.536645,0.200656,79.606316,954.450012,242.156250,242.062500,34.520351
2018-02-06,14:58:20,48.149638,11.536645,0.214008,79.597160,954.409973,242.093750,241.968750,34.399227
2018-02-06,14:58:20,48.149638,11.536645,0.214008,79.555962,954.330017,241.781250,241.687500,34.520351
2018-02-06,14:58:20,48.149638,11.536645,0.227359,79.348442,954.390015,241.875000,241.781250,34.520351
2018-02-06,14:58:20,48.149638,11.536645,0.256733,79.478142,954.349976,242.218750,242.187500,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.283436,79.623100,954.429993,242.218750,242.156250,34.641476
2018-02-06,14:58:20,48.149638,11.536645,0.256733,79.563591,954.369995,242.125000,242.031250,34.520351
2018-02-06,14:58:20,48.149638,11.536645,0.214008,79.778748,954.419983,242.062500,242.000000,34.641476
2018-02-06,14:58:20,48.149638,11.536645,0.240711,79.610893,954.369995,242.250000,242.187500,34.641476
2018-02-06,14:58:20,48.149638,11.536645,0.227359,79.755859,954.440002,242.031250,241.968750,34.641476
2018-02-06,14:58:20,48.149638,11.536645,0.187304,79.208054,954.510010,241.375000,241.343750,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.144579,79.188217,954.380005,241.656250,241.625000,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.088502,79.838257,954.500000,242.218750,242.187500,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.101854,79.952698,954.609985,241.968750,241.906250,34.641476
